Iteration,PAR,BUFFER_DEPTH,Total_Cells,Flip_Flops,Logic_Cells,Wires,Throughput,Area_per_Throughput,Objective
1,4,512,395,139,256,592,4,98.75,444.38
2,2,1024,300,76,224,450,2,150.00,375.00
3,1,256,240,42,198,360,1,240.00,10360.00
4,8,2048,605,269,336,907,8,75.62,642.81
5,16,256,990,522,468,1485,16,61.88,6020.94
6,2,2048,305,77,228,457,2,152.50,381.25
7,2,1024,300,76,224,450,2,150.00,375.00
8,1,512,245,43,202,367,1,245.00,10367.50
9,2,512,295,75,220,442,2,147.50,368.75
10,1,1024,250,44,206,375,1,250.00,10375.00
11,1,2048,255,45,210,382,1,255.00,10382.50
12,4,1024,400,140,260,600,4,100.00,450.00
13,2,512,295,75,220,442,2,147.50,368.75
14,4,512,395,139,256,592,4,98.75,444.38
15,2,256,290,74,216,435,2,145.00,362.50
16,2,256,290,74,216,435,2,145.00,362.50
17,16,2048,1005,525,480,1507,16,62.81,6036.41
18,32,256,1790,1034,756,2685,32,55.94,18751.30
19,2,256,290,74,216,435,2,145.00,362.50
20,2,256,290,74,216,435,2,145.00,362.50
